sourate,nom,jummal_nom,F_cumul,r3
1,الفاتحة,525,525,0
2,البقرة,338,863,-1
3,آل عمران,392,1255,-1
4,النساء,143,1398,-1
5,المائدة,91,1489,1
6,الأنعام,193,1682,1
7,الأعراف,383,2065,-1
8,الأنفال,193,2258,1
9,التوبة,444,2702,0
10,يونس,126,2828,0
11,هود,15,2843,0
12,يوسف,156,2999,0
13,الرعد,305,3304,-1
14,إبراهيم,259,3563,1
15,الحجر,242,3805,-1
16,النحل,119,3924,-1
17,الإسراء,294,4218,0
18,الكهف,136,4354,1
19,مريم,290,4644,-1
20,طه,14,4658,-1
21,الأنبياء,96,4754,0
22,الحج,42,4796,0
23,المؤمنون,223,5019,1
24,النور,287,5306,-1
25,الفرقان,462,5768,0
26,الشعراء,603,6371,0
27,النمل,151,6522,1
28,القصص,311,6833,-1
29,العنكبوت,579,7412,0
30,الروم,277,7689,1
31,لقمان,221,7910,-1
32,السجدة,103,8013,1
33,الأحزاب,50,8063,-1
34,سبأ,63,8126,0
35,فاطر,290,8416,-1
36,يس,70,8486,1
37,الصافات,603,9089,0
38,ص,90,9179,0
39,الزمر,278,9457,-1
40,غافر,1281,10738,0
41,فصلت,600,11338,0
42,الشورى,547,11885,1
43,الزخرف,918,12803,0
44,الدخان,686,13489,-1
45,الجاثية,550,14039,1
46,الأحقاف,221,14260,-1
47,محمد,92,14352,-1
48,الفتح,519,14871,0
49,الحجرات,643,15514,1
50,ق,100,15614,1
51,الذاريات,1343,16957,-1
52,الطور,246,17203,0
53,النجم,124,17327,1
54,القمر,371,17698,-1
55,الرحمن,329,18027,-1
56,الواقعة,213,18240,0
57,الحديد,57,18297,0
58,المجادلة,114,18411,0
59,الحشر,539,18950,-1
60,الممتحنة,574,19524,1
61,الصف,201,19725,0
62,الجمعة,149,19874,-1
63,المنافقون,358,20232,1
64,التغابن,1484,21716,-1
65,الطلاق,171,21887,0
66,التحريم,689,22576,-1
67,الملك,121,22697,1
68,القلم,201,22898,0
69,الحاقة,145,23043,1
70,المعارج,345,23388,0
71,نوح,64,23452,1
72,الجن,84,23536,0
73,المزمل,148,23684,1
74,المدثر,775,24459,1
75,القيامة,187,24646,1
76,الإنسان,193,24839,1
77,المرسلات,762,25601,0
78,النبأ,84,25685,0
79,النازعات,560,26245,-1
80,عبس,132,26377,0
81,التكوير,667,27044,1
82,الانفطار,372,27416,0
83,المطففين,300,27716,0
84,الانشقاق,583,28299,1
85,البروج,242,28541,-1
86,الطارق,341,28882,-1
87,الأعلى,142,29024,1
88,الغاشية,1347,30371,0
89,الفجر,314,30685,-1
90,البلد,67,30752,1
91,الشمس,431,31183,-1
92,الليل,101,31284,-1
93,الضحى,849,32133,0
94,الشرح,539,32672,-1
95,التين,491,33163,-1
96,العلق,231,33394,0
97,القدر,335,33729,-1
98,البينة,98,33827,-1
99,الزلزلة,110,33937,-1
100,العاديات,517,34454,1
101,القارعة,407,34861,-1
102,التكاثر,1152,36013,0
103,العصر,391,36404,1
104,الهمزة,88,36492,1
105,الفيل,151,36643,1
106,قريش,610,37253,1
107,الماعون,198,37451,0
108,الكوثر,757,38208,1
109,الكافرون,388,38596,1
110,النصر,371,38967,-1
111,المسد,135,39102,0
112,الإخلاص,753,39855,0
113,الفلق,241,40096,1
114,الناس,142,40238,1
